s,p,a,,
0.055,-0.64725,2.93,,
0.05,-0.71113,2.66,,
0.045,-0.78594,3.082,,
0.04,-0.863,3.661,,
0.035,-0.90922,4.162,,
0.03,-0.93234,5.585,,
0.025,-1.03251,6.235,,
0.02,-1.00169,7.446,,
0.015,-0.97857,8.04,,
0.01,-0.96417,9.479,,
0.005,-0.96316,10.46,,
0,-1.02481,11.65,,
-0.005,-1.02481,13.22,,
-0.01,-1.06333,14.91,,
-0.015,-1.10923,15.73,,
-0.02,-1.08645,17.23,,
-0.025,-1.14809,18.39,,
-0.03,-1.11727,19.29,,
-0.035,-1.08645,19.94,,
-0.04,-1.09415,20.63,,
-0.045,-1.07104,20.58,,
-0.05,-1.05563,21.39,,
-0.055,-1.04043,21.84,,